samples,n,draw,n_pos,n_neg,n_training_rows,dev_mean,eval_mean,dev_anthropic_harmless_refusal,dev_bbq_substitution,dev_hc_context_drift,dev_hc_contradiction,dev_mm_substitution,dev_oig_context_drift,dev_oig_omission,eval_anthropic_harmless_refusal,eval_bbq_substitution,eval_hc_context_drift,eval_hc_contradiction,eval_mm_substitution,eval_oig_context_drift,eval_oig_omission,seconds
instructions_nemotron_600.jsonl,400,6,200,200,450,0.61848,0.68902,0.72967,0.41739,0.60652,0.66479,0.70761,0.60376,0.59961,0.76905,0.68645,0.66697,0.6686,0.82065,0.58338,0.62804,28.1
instructions_nemotron_600.jsonl,400,7,200,200,450,0.68724,0.7734,0.74221,0.44204,0.84757,0.72448,0.69983,0.74518,0.60938,0.7945,0.8439,0.91917,0.7059,0.85115,0.62371,0.67544,24.8
instructions_nemotron_600.jsonl,500,0,250,250,550,0.64839,0.71278,0.76687,0.38279,0.73462,0.81185,0.65225,0.63177,0.55859,0.79695,0.7224,0.72845,0.77825,0.7875,0.56754,0.60834,27.4
instructions_nemotron_600.jsonl,500,1,250,250,550,0.6627,0.73864,0.80277,0.38711,0.76814,0.76557,0.66133,0.67585,0.57812,0.8319,0.7515,0.76507,0.7415,0.8345,0.59045,0.65559,28.7
instructions_nemotron_600.jsonl,500,2,250,250,550,0.65897,0.75317,0.76427,0.375,0.78283,0.7154,0.71799,0.66162,0.5957,0.786,0.81525,0.86943,0.67855,0.8447,0.62993,0.64835,31.6
instructions_nemotron_600.jsonl,500,3,250,250,550,0.63633,0.71052,0.73486,0.39273,0.64004,0.71583,0.70675,0.65473,0.60938,0.7539,0.79575,0.73116,0.63505,0.824,0.58726,0.64651,31.6
instructions_nemotron_600.jsonl,500,4,250,250,550,0.68945,0.75094,0.85467,0.38841,0.79063,0.78503,0.7141,0.67218,0.62109,0.8338,0.7873,0.84892,0.7366,0.8559,0.5483,0.64574,33.3
instructions_nemotron_600.jsonl,500,5,250,250,550,0.67639,0.74702,0.65052,0.44204,0.85399,0.72967,0.81877,0.6382,0.60156,0.7102,0.7711,0.91471,0.69375,0.92335,0.56366,0.65235,27.2
instructions_nemotron_600.jsonl,500,6,250,250,550,0.66657,0.74979,0.69247,0.35424,0.81451,0.74697,0.73443,0.69835,0.625,0.7269,0.7032,0.89786,0.7493,0.88305,0.632,0.6562,28.6
instructions_nemotron_600.jsonl,500,7,250,250,550,0.6538,0.73412,0.70848,0.38668,0.72406,0.71886,0.73962,0.69146,0.60742,0.7383,0.7577,0.79807,0.71075,0.8934,0.57583,0.66482,30.4
