dataset,auroc,accuracy,tpr_at_fpr,fpr,arch,run,arm,n_kept,n_dropped,n_excluded,init_seed
eval_ant_hh,0.5539095566941413,0.5447761194029851,0.0,0.01,lda,neardraw_d0_s42,neardraw,725,81,72,42
eval_balanced_refusal,0.4739625,0.4675,0.0,0.01,lda,neardraw_d0_s42,neardraw,725,81,72,42
eval_daily_dilemmas,0.6294252394835486,0.5714285714285714,0.0,0.01,lda,neardraw_d0_s42,neardraw,725,81,72,42
mean,0.5393243240444225,0.5209261727078891,0.0,0.01,lda,neardraw_d0_s42,neardraw,725,81,72,42
eval_ai_dilemmas,0.5,0.5,0.0,0.01,lda,neardraw_d1_s42,neardraw,725,81,72,42
eval_ant_hh,0.5463354867453776,0.5522388059701493,0.0,0.01,lda,neardraw_d1_s42,neardraw,725,81,72,42
eval_balanced_refusal,0.4635,0.465,0.0,0.01,lda,neardraw_d1_s42,neardraw,725,81,72,42
eval_daily_dilemmas,0.6398896293211163,0.5867346938775511,0.0,0.01,lda,neardraw_d1_s42,neardraw,725,81,72,42
mean,0.5374312790166235,0.5259933749619251,0.0,0.01,lda,neardraw_d1_s42,neardraw,725,81,72,42
eval_ai_dilemmas,0.5,0.5,0.0,0.01,lda,neardraw_d2_s42,neardraw,725,81,72,42
eval_ant_hh,0.5399866339942081,0.5447761194029851,0.0,0.01,lda,neardraw_d2_s42,neardraw,725,81,72,42
eval_balanced_refusal,0.4490875,0.45,0.0,0.01,lda,neardraw_d2_s42,neardraw,725,81,72,42
