packed gptoss120b: train 662 rows / 2.84 GB, val 166 rows / 0.71 GB, eval 866 rows / 0.81 GB (host)
  seed 81 pass 3/7  (18s/pass, 85m elapsed, 23m left)
  seed 81 pass 4/7  (18s/pass, 85m elapsed, 22m left)
  seed 81 pass 5/7  (18s/pass, 86m elapsed, 22m left)
  seed 81 pass 6/7  (18s/pass, 86m elapsed, 22m left)
  seed 81 pass 7/7  (18s/pass, 86m elapsed, 22m left)
  seed 82 pass 1/7  (18s/pass, 86m elapsed, 21m left)
  seed 82 pass 2/7  (18s/pass, 87m elapsed, 21m left)
  seed 82 pass 3/7  (19s/pass, 87m elapsed, 21m left)
  seed 82 pass 4/7  (19s/pass, 88m elapsed, 20m left)
  seed 82 pass 5/7  (19s/pass, 88m elapsed, 20m left)
  seed 82 pass 6/7  (19s/pass, 89m elapsed, 20m left)
  seed 82 pass 7/7  (19s/pass, 89m elapsed, 20m left)
  seed 83 pass 1/7  (19s/pass, 89m elapsed, 19m left)
  seed 83 pass 2/7  (19s/pass, 89m elapsed, 19m left)
  seed 83 pass 3/7  (19s/pass, 90m elapsed, 19m left)
  seed 83 pass 4/7  (19s/pass, 90m elapsed, 18m left)
  seed 83 pass 5/7  (19s/pass, 90m elapsed, 18m left)
  seed 83 pass 6/7  (19s/pass, 90m elapsed, 18m left)
  seed 83 pass 7/7  (19s/pass, 91m elapsed, 17m left)
  seed 84 pass 1/7  (19s/pass, 91m elapsed, 17m left)
